id,slug,category,type,title,reference_no,dept,year,date_issued,archived,attachments,detail_page,pdf_links,file_sizes,source_page,first_seen,scraped_at
9604505,act-irda-act-1999-updated-with-sbsr-act-2025-2026,Acts,Acts,IRDA Act 1999 (updated with SBSR Act 2025),,,2026,2026-02-05,False,2,https://irdai.gov.in/document-detail?documentId=9604505,"[""https://irdai.gov.in/documents/37343/366193/%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%B0%E0%A4%A1%E0%A5%80%E0%A4%8F+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE+1999+%28%E0%A4%8F%E0%A4%B8%E0%A4%AC%E0%A5%80%E0%A4%8F%E0%A4%B8%E0%A4%86%E0%A4%B0+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2025+%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%BE+%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%A4%E0%A4%A8%29+_+IRDA+Act+1999+%28updated+with+SBSR+Act+2025%29.pdf/d2c36257-bdfe-8e90-4841-27385287b048?version=1.1&t=1782730526219&download=true"", ""https://irdai.gov.in/documents/37343/366193/%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%B0%E0%A4%A1%E0%A5%80%E0%A4%8F+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE+1999+%28%E0%A4%8F%E0%A4%B8%E0%A4%AC%E0%A5%80%E0%A4%8F%E0%A4%B8%E0%A4%86%E0%A4%B0+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2025+%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%BE+%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%A4%E0%A4%A8%29+_+IRDA+Act+1999+%28updated+with+SBSR+Act+2025%29.pdf/d2c36257-bdfe-8e90-4841-27385287b048?version=1.1&t=1782730526219&download=true""]","[""481 KB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
9603959,act-insurance-act-1938-updated-with-sbsr-act-202-2025,Acts,Acts,Insurance Act 1938 (updated with SBSR Act 2025),Insurance Act 1938 (updated with SBSR Act 2025),,2025,2026-02-05,False,2,https://irdai.gov.in/document-detail?documentId=9603959,"[""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+1938+%28%E0%A4%8F%E0%A4%B8%E0%A4%AC%E0%A5%80%E0%A4%8F%E0%A4%B8%E0%A4%86%E0%A4%B0+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2025+%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%BE+%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%A4%E0%A4%A8%29+_+Insurance+Act+1938+%28updated+with+SBSR+Act+2025%29.pdf/68dfbb81-eb23-0e2b-4451-95d35c64607a?version=1.1&t=1782730546504&download=true"", ""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+1938+%28%E0%A4%8F%E0%A4%B8%E0%A4%AC%E0%A5%80%E0%A4%8F%E0%A4%B8%E0%A4%86%E0%A4%B0+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2025+%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%BE+%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%A4%E0%A4%A8%29+_+Insurance+Act+1938+%28updated+with+SBSR+Act+2025%29.pdf/68dfbb81-eb23-0e2b-4451-95d35c64607a?version=1.1&t=1782730546504&download=true""]","[""1.1 MB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
397174,act-insurance-amendment-act-2021-2021,Acts,Acts,"Insurance (Amendment) Act, 2021",--,,2021,2021-03-26,False,2,https://irdai.gov.in/document-detail?documentId=397174,"[""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%28%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8%29+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2021+_+Insurance+%28Amendment%29+Act%2C+2021.pdf/b131ce20-d4dc-570c-6d5c-7e1296264f78?version=1.2&t=1688471774822&download=true"", ""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%28%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8%29+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2021+_+Insurance+%28Amendment%29+Act%2C+2021.pdf/b131ce20-d4dc-570c-6d5c-7e1296264f78?version=1.2&t=1688471774822&download=true""]","[""388 KB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
394331,act-the-insurance-act-1938-incorporating-all-ame-2020,Acts,Acts,"THE INSURANCE ACT, 1938 (Incorporating all amendments including the amendme",--,,2020,2020-04-01,False,2,https://irdai.gov.in/document-detail?documentId=394331,"[""https://irdai.gov.in/documents/37343/366193/THE+INSURANCE+ACT%2C+1938+%28Incorporating+all+amendments+including+the+amendment.pdf/752842a8-84d6-330f-08f2-de2b3e1f9be4?version=1.1&t=1665118571000&download=true"", ""https://irdai.gov.in/documents/37343/366193/THE+INSURANCE+ACT%2C+1938+%28Incorporating+all+amendments+including+the+amendment.pdf/752842a8-84d6-330f-08f2-de2b3e1f9be4?version=1.1&t=1665118571000&download=true""]","[""1 MB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
388345,act-irda-act-as-amended-by-insurance-laws-amendm-2018,Acts,Acts,IRDA Act as amended by Insurance Laws(Amendment) Act 2015,--,,2018,2018-05-29,False,2,https://irdai.gov.in/document-detail?documentId=388345,"[""https://irdai.gov.in/documents/37343/366193/IRDA+Act+as+amended+by+Insurance+Laws%28Amendment%29+Act+2015.pdf/12f18de3-80a7-e448-31ea-b991eeff56a0?version=1.1&t=1665118643377&download=true"", ""https://irdai.gov.in/documents/37343/366193/IRDA+Act+as+amended+by+Insurance+Laws%28Amendment%29+Act+2015.pdf/12f18de3-80a7-e448-31ea-b991eeff56a0?version=1.1&t=1665118643377&download=true""]","[""624 KB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
378041,act-the-insurance-laws-amendment-act-2015-2015,Acts,Acts,"THE INSURANCE LAWS (AMENDMENT) ACT, 2015",--,,2015,2015-03-30,False,2,https://irdai.gov.in/document-detail?documentId=378041,"[""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%E0%A4%95%E0%A4%BE%E0%A4%A8%E0%A5%82%E0%A4%A8+%28%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8%29+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2015+_+THE+INSURANCE+LAWS+%28AMENDMENT%29+ACT%2C+2015.pdf/d4ec7049-c891-15d7-0659-ae25f4a7453a?version=1.1&t=1688472338171&download=true"", ""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%E0%A4%95%E0%A4%BE%E0%A4%A8%E0%A5%82%E0%A4%A8+%28%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8%29+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2015+_+THE+INSURANCE+LAWS+%28AMENDMENT%29+ACT%2C+2015.pdf/d4ec7049-c891-15d7-0659-ae25f4a7453a?version=1.1&t=1688472338171&download=true""]","[""224 KB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
377423,act-the-insurance-laws-amendment-ordinance-2014-2014,Acts,Acts,"The Insurance Laws (Amendment) Ordinance, 2014",--,,2014,2014-12-29,False,2,https://irdai.gov.in/document-detail?documentId=377423,"[""https://irdai.gov.in/documents/37343/366193/The+Insurance+Laws+%28Amendment%29+Ordinance%2C+2014.pdf/b3a62e03-56c1-43b3-56ab-64c3f4ce7be8?version=1.0&t=1631529572821&download=true"", ""https://irdai.gov.in/documents/37343/366193/The+Insurance+Laws+%28Amendment%29+Ordinance%2C+2014.pdf/b3a62e03-56c1-43b3-56ab-64c3f4ce7be8?version=1.0&t=1631529572821&download=true""]","[""3.4 MB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
366291,act-the-irda-act-1999-2007,Acts,Acts,The IRDA Act 1999,--,,2007,2007-05-01,False,2,https://irdai.gov.in/document-detail?documentId=366291,"[""https://irdai.gov.in/documents/37343/366193/%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%B0%E0%A4%A1%E0%A5%80%E0%A4%8F+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE+1999+_+The+IRDA+Act+1999.pdf/9aa8e266-9955-004b-05e8-53e0773e4dda?version=1.4&t=1688472284344&download=true"", ""https://irdai.gov.in/documents/37343/366193/%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%B0%E0%A4%A1%E0%A5%80%E0%A4%8F+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE+1999+_+The+IRDA+Act+1999.pdf/9aa8e266-9955-004b-05e8-53e0773e4dda?version=1.4&t=1688472284344&download=true""]","[""480 KB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
366196,act-the-insurance-act-1938-2007,Acts,Acts,The Insurance Act 1938,--,,2007,2007-05-01,False,2,https://irdai.gov.in/document-detail?documentId=366196,"[""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE+1938+_+The+Insurance+Act+1938.doc/0f9c0e52-56be-b85b-56b2-ab6e0bc550e5?version=1.4&t=1688472163188&download=true"", ""https://irdai.gov.in/documents/37343/366193/%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE+%E0%A4%85%E0%A4%A7%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE+1938+_+The+Insurance+Act+1938.doc/0f9c0e52-56be-b85b-56b2-ab6e0bc550e5?version=1.4&t=1688472163188&download=true""]","[""942 KB""]",https://irdai.gov.in/acts,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
1298255,rules-motor-vehicles-third-party-insurance-base-pr-2022,Rules,Rules,"Motor Vehicles (Third Party Insurance Base Premium and Liability) Rules, 2022",G.S.R. 394(E).,,2022,2022-05-25,False,2,https://irdai.gov.in/document-detail?documentId=1298255,"[""https://irdai.gov.in/documents/37343/855426/%E0%A4%AE%E0%A5%8B%E0%A4%9F%E0%A4%B0+%E0%A4%AF%E0%A4%BE%E0%A4%A8+%28%E0%A4%AA%E0%A4%B0%E0%A4%AA%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%95%E0%A4%BE%E0%A4%B0+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE%E0%A4%BF%E0%A4%AF%E0%A4%AE+%E0%A4%AE%E0%A5%82%E0%A4%B2+%E0%A4%94%E0%A4%B0+%E0%A4%A6%E0%A5%87%E0%A4%AF%E0%A4%A4%E0%A4%BE%29+%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2022++_+Motor+Vehicles+%28Third+Party+Insurance+Base+Premium+and+Liability%29+Rules%2C+2022.pdf/ca5b9d98-7893-a64a-acb4-7d2e2a2ef9fe?version=1.2&t=1687437859341&download=true"", ""https://irdai.gov.in/documents/37343/855426/%E0%A4%AE%E0%A5%8B%E0%A4%9F%E0%A4%B0+%E0%A4%AF%E0%A4%BE%E0%A4%A8+%28%E0%A4%AA%E0%A4%B0%E0%A4%AA%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%95%E0%A4%BE%E0%A4%B0+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE%E0%A4%BF%E0%A4%AF%E0%A4%AE+%E0%A4%AE%E0%A5%82%E0%A4%B2+%E0%A4%94%E0%A4%B0+%E0%A4%A6%E0%A5%87%E0%A4%AF%E0%A4%A4%E0%A4%BE%29+%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE%2C+2022++_+Motor+Vehicles+%28Third+Party+Insurance+Base+Premium+and+Liability%29+Rules%2C+2022.pdf/ca5b9d98-7893-a64a-acb4-7d2e2a2ef9fe?version=1.2&t=1687437859341&download=true""]","[""1.3 MB""]",https://irdai.gov.in/rules,2026-07-13T11:25:52.981576+00:00,2026-07-13T11:25:52.981576+00:00
